53,35128,35303,35498,35716,35950,36187,36410,36600,36730,36785,36760,36661,36497,36295,36086,35893,35735,35617,35534,35471,35416,35361,35302,35244,35193,385,2019-11-04-18-25-52
53,35138,35058,34931,34741,34472,34130,33738,33335,32962,32670,32494,32449,32537,32751,33065,33444,33851,34249,34613,34940,35263,35633,36100,36692,37393,386,2019-11-04-18-25-53
53,38124,38789,39307,39638,39791,39810,39749,39641,39493,39308,39084,38818,38508,38148,37733,37269,36776,36273,35782,35313,34872,34462,34088,33759,33476,387,2019-11-04-18-25-53
53,33238,33042,32885,32756,32651,32568,32507,32469,32454,32460,32488,32528,32571,32610,32639,32652,32647,32621,32573,32508,32431,32352,32277,32211,32158,388,2019-11-04-18-25-53
53,32119,32096,32091,32104,32129,32156,32170,32166,32140,32102,32061,32035,32034,32063,32113,32168,32210,32223,32198,32134,32037,31919,31786,31638,31467,389,2019-11-04-18-25-54
53,31271,31052,30822,30602,30410,30254,30134,30037,29954,29876,29804,29733,29668,29615,29582,29571,29586,29621,29668,29717,29760,29789,29800,29790,29757,390,2019-11-04-18-25-54
53,29707,29651,29596,29548,29509,29479,29459,29448,29447,29460,29482,29509,29534,29556,29581,29624,29694,29796,29925,30067,30208,30340,30462,30570,30662,391,2019-11-04-18-25-54
53,30732,30779,30804,30814,30815,30811,30804,30801,30811,30838,30885,30949,31018,31081,31134,31177,31215,31256,31315,31400,31515,31653,31807,31966,32124,392,2019-11-04-18-25-55
53,32278,32430,32580,32717,32825,32891,32906,32868,32791,32693,32593,32501,32420,32349,32282,32221,32166,32124,32103,32107,32147,32235,32383,32592,32852,393,2019-11-04-18-25-55
53,33145,33447,33735,33990,34205,34381,34519,34620,34689,34727,34738,34725,34696,34662,34632,34611,34595,34580,34554,34512,34454,34385,34316,34252,34203,394,2019-11-04-18-25-55
53,34172,34165,34181,34215,34252,34277,34271,34224,34133,33999,33834,33650,33465,33287,33126,32981,32853,32747,32673,32631,32618,32625,32631,32617,32577,395,2019-11-04-18-25-56
53,32522,32474,32453,32471,32530,32618,32711,32784,32821,32817,32771,32691,32585,32466,32343,32218,32094,31974,31864,31765,31681,31614,31563,31521,31482,396,2019-11-04-18-25-56
53,31441,31399,31359,31336,31341,31383,31462,31571,31692,31807,31897,31952,31972,31960,31927,31886,31844,31805,31770,31735,31699,31656,31609,31560,31512,397,2019-11-04-18-25-56
53,31466,31426,31396,31381,31391,31430,31505,31613,31745,31887,32022,32135,32218,32268,32291,32299,32300,32300,32302,32306,32306,32302,32293,32282,32270,398,2019-11-04-18-25-57
53,32260,32251,32243,32237,32234,32232,32237,32254,32289,32348,32433,32539,32656,32769,32869,32952,33015,33056,33078,33083,33076,33062,33052,33051,33059,399,2019-11-04-18-25-57
53,33073,33083,33087,33087,33084,33082,33088,33106,33139,33193,33272,33383,33528,33699,33891,34099,34315,34527,34731,34928,35124,35322,35517,35704,35873,400,2019-11-04-18-25-57
53,36016,36130,36225,36315,36411,36515,36627,36742,36851,36945,37018,37071,37113,37164,37234,37328,37431,37524,37584,37585,37509,37349,37109,36808,36464,401,2019-11-04-18-25-58
53,36107,35761,35439,35139,34852,34567,34273,33966,33649,33334,33026,32732,32457,32209,31995,31826,31703,31623,31575,31541,31509,31466,31409,31335,31247,402,2019-11-04-18-25-58
53,31145,31034,30913,30781,30637,30481,30310,30122,29918,29699,29466,29211,28924,28593,28211,27768,27254,26670,26041,25412,24829,24344,24018,23914,24064,403,2019-11-04-18-25-58
53,24478,25139,26014,27050,28178,29333,30474,31581,32649,33688,34693,35624,36419,37020,37405,37583,37604,37515,37334,37072,36758,36428,36114,35844,35622,404,2019-11-04-18-25-59
53,35435,35272,35126,35000,34899,34827,34780,34755,34746,34744,34741,34729,34703,34656,34591,34519,34454,34407,34377,34356,34333,34304,34278,34268,34282,405,2019-11-04-18-25-59
53,34310,34331,34318,34253,34127,33944,33716,33463,33205,32954,32722,32516,32334,32173,32029,31901,31787,31684,31592,31508,31432,31364,31309,31279,31293,406,2019-11-04-18-25-59
53,31368,31514,31720,31958,32186,32363,32467,32493,32456,32376,32277,32171,32064,31957,31856,31765,31686,31620,31563,31514,31467,31424,31388,31362,31341,407,2019-11-04-18-26-00
53,31324,31315,31318,31340,31391,31469,31561,31649,31724,31795,31885,32025,32235,32523,32879,33282,33697,34088,34422,34680,34850,34936,34946,34899,34803,408,2019-11-04-18-26-00
